Program	Optimization	K	Iterations	Threads	Time (ms)
OMP 4K	O2	64	16	1	114979
OMP 4K	O2	64	16	1	117654
OMP 4K	O2	64	32	2	144051
OMP 4K	O2	64	32	2	145146
OMP 4K	O2	64	32	2	145422
OMP 4K	O2	64	32	2	145446
OMP 4K	O2	64	32	2	145443
OMP 4K	O2	64	32	2	145761
OMP 4K	O2	64	20	1	131769
OMP 4K	O2	64	16	1	133313
OMP 4K	O2	64	20	1	134472
OMP 4K	O2	64	20	1	134981
OMP 4K	O2	64	20	1	138102
OMP 4K	O2	64	20	1	138244
OMP 4K	O2	64	20	1	139148
OMP 4K	O2	256	8	2	210348
OMP 4K	O2	256	8	2	210498
OMP 4K	O2	256	16	2	215537
OMP 4K	O2	64	16	1	146284
OMP 4K	O2	64	16	1	146279
OMP 4K	O2	64	20	1	148868
OMP 4K	O2	256	8	2	226369
OMP 4K	O2	256	20	2	292192
OMP 4K	O2	64	16	1	160290
OMP 4K	O2	256	20	2	299898
OMP 4K	O2	64	20	1	177026
OMP 4K	O2	256	20	2	312320
OMP 4K	O2	64	20	1	182269
OMP 4K	O2	64	20	1	182259
OMP 4K	O2	256	8	1	185783
OMP 4K	O2	256	16	2	260235
OMP 4K	O2	256	8	2	257690
OMP 4K	O2	256	20	2	324980
OMP 4K	O2	256	20	2	329967
OMP 4K	O2	64	32	1	195051
OMP 4K	O2	256	8	1	204026
OMP 4K	O2	256	8	1	204322
